HebValue	EngValue	Gender
עדי	Adi	Female
עדינה	Adina	Female
עדן	Eden	Female
עדנה	Edna	Female
עופרה	Ofra	Female
עינב	Einav	Female
עינת	Einat	Female
עליזה	Aliza	Female
עמית	Amit	Female
ענבל	Inbal	Female
ענבר	Inbar	Female
ענת	Anat	Female
עפרה	Ofra	Female
פנינה	Pnina	Female
צביה	Tzvia	Female
ציונה	Tziona	Female
צליל	Tzlil	Female
צפורה	Tzipora	Female
קארין	Karin	Female
קורל	Koral	Female
קרן	Keren	Female
רבקה	Rivka	Female
רויטל	Ravital	Female
רוית	Ravit	Female
רומי	Romi	Female
רוני	Roni	Female
רונית	Ronit	Female
רות	Ruth	Female
רותי	Ruti	Female
רותם	Rotem	Female
רחל	Rachel	Female
רינה	Rina	Female
רינת	Rinat	Female
רעות	Reut	Female
שגית	Sagit	Female
שובל	Shoval	Female
שולמית	Shulamit	Female
שושנה	Shoshana	Female
שחר	Shachar	Female
שי	Shai	Female
שיר	Shir	Female
שיראל	Sirael	Female
שירה	Shira	Female
שירי	Shiri	Female
שירלי	Shirli	Female
שירן	Shiran	Female
שלומית	Shulamit	Female
שלי	Sheli	Female
שמחה	Simha	Female
שני	Shani	Female
שקד	Saked	Female
שרה	Sarah	Female
שרון	Sharon	Female
שרונה	Sarona	Female
שרית	Sarit	Female
תהילה	Tehila	Female
תהל	Tahel	Female
תמר	Tamar	Female
תקוה	Tikva	Female
